"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" 432228.2 48998.5 1937.7 1491.2 8303.3 19941.3 27293.7 119407.6 167999.8 187233.5
"2" 88444.9 1224271.6 4729.7 2923.6 20336.7 186282.9 91797.8 101537.4 260602.9 253651.1
"3" 3972.9 16389.9 4511874.7 240089.8 224225.5 1764.2 43066.6 39766.8 7493.8 22133.2
"4" 2654.2 4796.4 200226.5 718102.9 105395 939.1 23357.9 23802.4 4551.9 14824.7
"5" 6837.6 18618.6 106503.1 50084.9 890005.2 2822.1 68492.2 59006.8 12747 28622.4
"6" 22610.9 171569.1 820 508.6 3343.5 1426770.6 21660.2 40381.4 64276 28858.9
"7" 42054.3 111766.8 31053.5 16698.8 98901.3 29751.6 1035969.3 291444.2 103272.7 76926.1
"8" 182600.3 130593 27192.6 15596.7 83880.2 58430 337324 2633023 341721.2 354977.9
"9" 310012.3 423911 5801.5 3401.3 18957.2 116260.1 114856.6 299943.6 1965367.7 317339.8
"10" 423782.8 402516.1 17696.8 12219.2 44349.2 42345.4 85867.5 505317.7 311042.8 4196066.6
